,q,Ratio
0,0.15,0.6963965094700865
1,0.15848484848484848,0.7018233943876221
2,0.16696969696969696,0.7071922294195248
3,0.17545454545454545,0.7125030145657943
4,0.18393939393939393,0.717755749826431
5,0.19242424242424241,0.7229504352014346
6,0.2009090909090909,0.7280870706908052
7,0.20939393939393938,0.7331656562945429
8,0.21787878787878787,0.7381861920126476
9,0.22636363636363635,0.7431486778451192
10,0.23484848484848483,0.7480531137919578
11,0.24333333333333332,0.7528994998531635
12,0.25181818181818183,0.7576878360287362
13,0.26030303030303026,0.7624181223186759
14,0.2687878787878788,0.7670903587229826
15,0.2772727272727272,0.7717045452416562
16,0.28575757575757577,0.7762606818746969
17,0.2942424242424242,0.7807587686221046
18,0.30272727272727273,0.7851988054838793
19,0.31121212121212116,0.789580792460021
20,0.3196969696969697,0.7939047295505297
21,0.32818181818181813,0.7981706167554053
22,0.33666666666666667,0.8023784540746481
23,0.3451515151515151,0.8065282415082577
24,0.35363636363636364,0.8106199790562345
25,0.36212121212121207,0.8146536667185782
26,0.3706060606060606,0.8186293044952889
27,0.37909090909090903,0.8225468923863667
28,0.3875757575757576,0.8264064303918114
29,0.396060606060606,0.8302079185116231
30,0.40454545454545454,0.8339513567458019
31,0.41303030303030297,0.8376367450943476
32,0.4215151515151515,0.8412640835572603
33,0.42999999999999994,0.84483337213454
34,0.4384848484848485,0.8483446108261868
35,0.4469696969696969,0.8517977996322006
36,0.45545454545454545,0.8551929385525814
37,0.4639393939393939,0.8585300275873291
38,0.4724242424242424,0.861809066736444
39,0.48090909090909084,0.8650300559999257
40,0.4893939393939394,0.8681929953777745
41,0.4978787878787878,0.8712978848699902
42,0.5063636363636363,0.874344724476573
43,0.5148484848484848,0.8773335141975227
44,0.5233333333333333,0.8802642540328396
45,0.5318181818181817,0.8831369439825234
46,0.5403030303030303,0.8859515840465741
47,0.5487878787878787,0.8887081742249919
48,0.5572727272727273,0.8914067145177768
49,0.5657575757575757,0.8940472049249286
50,0.5742424242424242,0.8966296454464473
51,0.5827272727272726,0.8991540360823331
52,0.5912121212121212,0.901620376832586
53,0.5996969696969696,0.9040286676972058
54,0.6081818181818182,0.9063789086761926
55,0.6166666666666666,0.9086710997695464
56,0.6251515151515151,0.9109052409772673
57,0.6336363636363636,0.9130813322993552
58,0.6421212121212121,0.91519937373581
59,0.6506060606060605,0.9172593652866318
60,0.6590909090909091,0.9192613069518206
61,0.6675757575757576,0.9212051987313765
62,0.676060606060606,0.9230910406252995
63,0.6845454545454545,0.9249188326335892
64,0.693030303030303,0.9266885747562461
65,0.7015151515151515,0.9284002669932698
66,0.71,0.9300539093446608
67,0.7184848484848484,0.9316495018104187
68,0.7269696969696969,0.9331870443905436
69,0.7354545454545455,0.9346665370850354
70,0.7439393939393939,0.9360879798938944
71,0.7524242424242423,0.9374513728171202
72,0.7609090909090909,0.9387567158547131
73,0.7693939393939394,0.940004009006673
74,0.7778787878787878,0.941193252273
75,0.7863636363636363,0.9423244456536938
76,0.7948484848484848,0.9433975891487547
77,0.8033333333333333,0.9444126827581826
78,0.8118181818181818,0.9453697264819776
79,0.8203030303030302,0.9462687203201394
80,0.8287878787878787,0.9471096642726684
81,0.8372727272727273,0.9478925583395643
82,0.8457575757575757,0.9486174025208273
83,0.8542424242424241,0.9492841968164571
84,0.8627272727272727,0.9498929412264541
85,0.8712121212121212,0.950443635750818
86,0.8796969696969696,0.950936280389549
87,0.8881818181818181,0.9513708751426468
88,0.8966666666666666,0.9517474200101119
89,0.9051515151515152,0.9520659149919438
90,0.9136363636363636,0.9523263600881429
91,0.922121212121212,0.9525287552987087
92,0.9306060606060605,0.9526731006236417
93,0.9390909090909091,0.9527593960629417
94,0.9475757575757575,0.9527876416166086
95,0.9560606060606059,0.9527578372846426
96,0.9645454545454545,0.9526699830670436
97,0.973030303030303,0.9525240789638116
98,0.9815151515151515,0.9523201249749466
99,0.99,0.9520581211004486
